Route,Also,Towns
818,,"New Brunswick, East Brunswick TWP, Old Bridge TWP"
819,,"Piscataway TWP, Plainfield, Edison TWP, Metuchen, South Plainfield"
830,,"Asbury Park, Bradley Beach, Belmar in Monmouth Co, Lake Como, Wall TWP, Avon By The Sea, Spring Lake, Sea Girt, Manasquan, Brielle, Point Pleasant Beach"
831,,"Red Bank in Monmouth Co, Shrewsbury, Eatontown, Ocean TWP in Monmouth Co, West Long Branch, Long Branch"
832,,"Lincroft, Red Bank in Monmouth Co, Shrewsbury, Eatontown, Oakhurst, Ocean TWP in Monmouth Co, Asbury Park"
834,,"Middletown in Monmouth Co, Belford, Leonardo, Atlantic Highlands, Highlands, Red Bank in Monmouth Co"
836,,"Freehold Boro, Freehold TWP, Howell TWP, Wall TWP, Tinton Falls, Neptune TWP, Asbury Park"
837,,"Long Branch, West Long Branch, Elberon, Deal, Loch Arbour, Allenhurst, Asbury Park, Ocean TWP in Monmouth Co"
838,,"Freehold Boro, Lincroft, Freehold TWP, Colts Neck, Shrewsbury, Red Bank in Monmouth Co, Fair Haven, Rumson, Sea Bright"
871,874,"Morristown, Boonton, New Hanover TWP, Parsippany, Montville TWP, Lincoln Park Boro, Fairfield TWP in Essex Co"
872,,"Parsippany, Morris Plains, Morristown"
873,,"Parsippany, Morristown, Morris TWP, Madison, Chatham, Millburn TWP, Livingston TWP"
875,,"Roxbury, Randolph TWP, Dover in Morris Co, Victory Gardens, Parsippany, Morristown, Morris Plains"
880,,"Rockaway, Dover IN MORRIS CO, Wharton, Denville, Parsippany, Morris Plains, Morristown"
986,,"Berkeley Heights in Union Co, New Providence, Summit, Plainfield"
